a	occurrence?id_SignBankVariant=373

a-level-above	occurrence?id_SignBankVariant=374

a-level-below	occurrence?id_SignBankVariant=5983
*a-level-below (think+a-level-below)	occurrence?id_SignBankVariant=5753

a-lot	occurrence?id_SignBankVariant=375
(1h)a-lot	occurrence?id_SignBankVariant=6611

a-ok	occurrence?id_SignBankVariant=4476

ns-#aa	occurrence?id_SignBankVariant=4902

abandon	occurrence?id_SignBankVariant=376

#abc	occurrence?id_SignBankVariant=5400

abortion	occurrence?id_SignBankVariant=378
(1h)abortion	occurrence?id_SignBankVariant=64
(s)abortion	occurrence?id_SignBankVariant=332
abortion_2	occurrence?id_SignBankVariant=379

about	occurrence?id_SignBankVariant=380
(nd-flat-o)about	occurrence?id_SignBankVariant=294

above	occurrence?id_SignBankVariant=381
above_2	occurrence?id_SignBankVariant=382
above_3	occurrence?id_SignBankVariant=383

absent	occurrence?id_SignBankVariant=384

abstract	occurrence?id_SignBankVariant=385

abuse	occurrence?id_SignBankVariant=386

#ac	occurrence?id_SignBankVariant=2

accept	occurrence?id_SignBankVariant=387
(1h)accept	occurrence?id_SignBankVariant=4526

accident	occurrence?id_SignBankVariant=388
(3)accident	occurrence?id_SignBankVariant=172
(5)accident	occurrence?id_SignBankVariant=178

accommodate	occurrence?id_SignBankVariant=6643

accompany	occurrence?id_SignBankVariant=389

acquire	occurrence?id_SignBankVariant=390

across-from	occurrence?id_SignBankVariant=5942

act	occurrence?id_SignBankVariant=391
act* (act+agent)	occurrence?id_SignBankVariant=3229

act+agent	occurrence?id_SignBankVariant=3228

action	occurrence?id_SignBankVariant=392
(1h)action	occurrence?id_SignBankVariant=4698
*action (what+action)	occurrence?id_SignBankVariant=6625

adapt	occurrence?id_SignBankVariant=393

add-to	occurrence?id_SignBankVariant=4789

addicted	occurrence?id_SignBankVariant=395

address	occurrence?id_SignBankVariant=396
address_2	occurrence?id_SignBankVariant=397

admit	occurrence?id_SignBankVariant=398
(1h)admit	occurrence?id_SignBankVariant=65

adult-tall	occurrence?id_SignBankVariant=401
adult	occurrence?id_SignBankVariant=399
adult-pl	occurrence?id_SignBankVariant=400
adult-tall-pl	occurrence?id_SignBankVariant=4477

adultery	occurrence?id_SignBankVariant=402

adventurous/sneaky	occurrence?id_SignBankVariant=403

advertise	occurrence?id_SignBankVariant=404
advertise_2	occurrence?id_SignBankVariant=405

advise/influence	occurrence?id_SignBankVariant=406
advise/influence* (advise/influence+agent)	occurrence?id_SignBankVariant=3235
advise/influence_2	occurrence?id_SignBankVariant=407

advise/influence+agent	occurrence?id_SignBankVariant=3234

afraid	occurrence?id_SignBankVariant=408
scare	occurrence?id_SignBankVariant=2445

(a)ns-africa	occurrence?id_SignBankVariant=198
(a)ns-africa* ((a)ns-africa+ns-america+agent)	occurrence?id_SignBankVariant=3177
*(a)ns-africa (south+(a)ns-africa)	occurrence?id_SignBankVariant=4074

ns-africa	occurrence?id_SignBankVariant=1948
*ns-africa (south+ns-africa)	occurrence?id_SignBankVariant=4077
