a	A	occurrence?id_SignBankVariant=373

a-level-above	advance, progress, prominent (a level above), promote, promotion	occurrence?id_SignBankVariant=374

a-level-below	a level below, demotion, dmote	occurrence?id_SignBankVariant=5983
*a-level-below (think+a-level-below)	a level below, demotion, dmote	occurrence?id_SignBankVariant=5753

a-lot	a great deal, a lot, lots of, much, too much	occurrence?id_SignBankVariant=375
(1h)a-lot	a great deal, a lot, lots of, much, too much	occurrence?id_SignBankVariant=6611

a-ok	A-OK, OK	occurrence?id_SignBankVariant=4476

ns-#aa	ns-#aa	occurrence?id_SignBankVariant=4902

abandon	abandon, get rid of, throw out, toss, toss out	occurrence?id_SignBankVariant=376

#abc	#abc	occurrence?id_SignBankVariant=5400

abortion	abort, abortion, get an abortion, have an abortion	occurrence?id_SignBankVariant=378
(1h)abortion	abort, abortion, get an abortion, have an abortion	occurrence?id_SignBankVariant=64
(s)abortion	abort, abortion, get an abortion, have an abortion	occurrence?id_SignBankVariant=332
abortion_2	abort, abortion, get an abortion, have an abortion	occurrence?id_SignBankVariant=379

about	about, concerning, in reference to, in regard to, regarding	occurrence?id_SignBankVariant=380
(nd-flat-o)about	about, concerning, in reference to, in regard to, regarding	occurrence?id_SignBankVariant=294

above	above, higher than, more than, over	occurrence?id_SignBankVariant=381
above_2	above, higher than, more than, over	occurrence?id_SignBankVariant=382
above_3	above, higher than, more than, over	occurrence?id_SignBankVariant=383

absent	absent, miss, missing, non-attending, skip an event, truant	occurrence?id_SignBankVariant=384

abstract	abstract, metaphysical	occurrence?id_SignBankVariant=385

abuse	abuse, assault, beat, hit, punch	occurrence?id_SignBankVariant=386

#ac	#ac	occurrence?id_SignBankVariant=2

accept	abide by, accept, acquiesce to, adhere to, agree to, consent to, embrace, own, say yes to, take on, take responsibility for, tolerate	occurrence?id_SignBankVariant=387
(1h)accept	abide by, accept, acquiesce to, adhere to, agree to, consent to, embrace, own, say yes to, take on, take responsibility for, tolerate	occurrence?id_SignBankVariant=4526

accident	accident (vehicle), car accident, collision, crash vehicle	occurrence?id_SignBankVariant=388
(3)accident	accident (vehicle), car accident, collision, crash vehicle	occurrence?id_SignBankVariant=172
(5)accident	accident (vehicle), car accident, collision, crash vehicle	occurrence?id_SignBankVariant=178

accommodate	accommodate	occurrence?id_SignBankVariant=6643

accompany	accompany, go along with, go together, go with, travel together	occurrence?id_SignBankVariant=389

acquire	acquire, acquisition, learn a skill, pick something up, pick up	occurrence?id_SignBankVariant=390

across-from	across from	occurrence?id_SignBankVariant=5942

act	act, acting, drama, perform, performance, performing arts, play, put on aplay, show, theater, theatre, theatrics	occurrence?id_SignBankVariant=391
act* (act+agent)	act, acting, drama, perform, performance, performing arts, play, put on aplay, show, theater, theatre, theatrics	occurrence?id_SignBankVariant=3229

act+agent	actor	occurrence?id_SignBankVariant=3228

action	act, action, active, activity, be involved, behavior, deed, did, do, done, event	occurrence?id_SignBankVariant=392
(1h)action	act, action, active, activity, be involved, behavior, deed, did, do, done, event	occurrence?id_SignBankVariant=4698
*action (what+action)	act, action, active, activity, be involved, behavior, deed, did, do, done, event	occurrence?id_SignBankVariant=6625

adapt	adapt, adjust, alter, change, modify	occurrence?id_SignBankVariant=393

add-to	add to	occurrence?id_SignBankVariant=4789

addicted	addict, addicted, addiction, habit, hooked	occurrence?id_SignBankVariant=395

address	address, life, live, residence, resident	occurrence?id_SignBankVariant=396
address_2	address, life, live, residence, resident	occurrence?id_SignBankVariant=397

admit	admit, agree to do, be willing, confess, declare, fess up	occurrence?id_SignBankVariant=398
(1h)admit	admit, agree to do, be willing, confess, declare, fess up	occurrence?id_SignBankVariant=65

adult-tall	adult, giant, grown-up, tall	occurrence?id_SignBankVariant=401
adult	adult, giant, grown-up, tall	occurrence?id_SignBankVariant=399
adult-pl	adult, giant, grown-up, tall	occurrence?id_SignBankVariant=400
adult-tall-pl	adult, giant, grown-up, tall	occurrence?id_SignBankVariant=4477

adultery	adultery, cheat, extramarital fling, have an affair	occurrence?id_SignBankVariant=402

adventurous/sneaky	adventurous, clandestine, covert, devious, secretively, sly, sneaky, stealthy	occurrence?id_SignBankVariant=403

advertise	ad, advertise, advertisement, commercial, marketing, promote, promotion, publicize	occurrence?id_SignBankVariant=404
advertise_2	ad, advertise, advertisement, commercial, marketing, promote, promotion, publicize	occurrence?id_SignBankVariant=405

advise/influence	advice, advise, counsel, guidance, guide, influence, recommend, recommendation	occurrence?id_SignBankVariant=406
